fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
62858.mol,76.38489849008825,leastNAD+.mol,differential_evolution,197.79391622543335,3.0,1.0,,,,,,,
30605.mol,39.877374288850575,leastNAD+.mol,random_restart,103.45433330535889,,1.0,50.0,5.0,,,,,
24989.mol,847314.5636005646,leastNAD+.mol,random_restart,355.0739495754242,,1.0,50.0,5.0,,,,,
48123.mol,-188.80205863011892,lessNAD+.mol,differential_evolution,122.27006101608276,3.0,1.0,,,,,,,
99657.mol,115877.15479797807,leastNAD+.mol,brute_force,7.269581317901611,,,,10000.0,,,,,
65763.mol,213357.42900344377,leastNAD+.mol,brute_force,159.93112659454346,,,,100000.0,,,,,
35605.mol,280797.1075375424,leastNAD+.mol,brute_force,3.46016001701355,,,,1000.0,,,,,
92182.mol,4340321.432572635,leastNAD+.mol,brute_force,51.71416735649109,,,,10000.0,,,,,
65026.mol,2991086.129952649,leastNAD+.mol,brute_force,34.55295491218567,,,,10000.0,,,,,
82262.mol,-166.7599904370181,FADH2.mol,minimize,95.81951093673706,,,,,,,,,
60708.mol,-31.462476850542686,FADH2.mol,minimize,119.00252914428711,,,,,,,,,
31575.mol,57.25762049418236,evenLessNAD+.mol,minimize,4.853294372558594,,,,,a,o,,,
41604.mol,50.88598263462189,evenLessNAD+.mol,minimize,10.006510019302368,,,,,a,o,,,
93072.mol,51.57529737560311,evenLessNAD+.mol,minimize,5.431997060775757,,,,,a,o,,,
17998.mol,54.99337048760689,evenLessNAD+.mol,minimize,5.8153581619262695,,,,,,,molSizeTiming,,
21341.mol,122.37040571929887,evenLessNAD+.mol,minimize,3.337137460708618,,,,,,,molSizeTiming,,
27491.mol,53.210970846495826,evenLessNAD+.mol,minimize,6.146371603012085,,,,,,,molSizeTiming,,
32297.mol,53.130378347603354,evenLessNAD+.mol,minimize,4.8011085987091064,,,,,,,molSizeTiming,,
34541.mol,198.33658492571536,evenLessNAD+.mol,minimize,2.240077257156372,,,,,,,molSizeTiming,,
38948.mol,48.677406568168024,evenLessNAD+.mol,minimize,4.402925729751587,,,,,,,molSizeTiming,,
43064.mol,57.7187315691194,evenLessNAD+.mol,minimize,4.1109299659729,,,,,,,molSizeTiming,,
48304.mol,55.15472123182789,evenLessNAD+.mol,minimize,5.236079454421997,,,,,,,molSizeTiming,,
51263.mol,728.321819154305,evenLessNAD+.mol,minimize,2.9547007083892822,,,,,,,molSizeTiming,,
56078.mol,109.41436291758848,evenLessNAD+.mol,minimize,4.809782028198242,,,,,,,molSizeTiming,,
59726.mol,67.18541938664698,evenLessNAD+.mol,minimize,3.644052743911743,,,,,,,molSizeTiming,,
63612.mol,88.52972868956627,evenLessNAD+.mol,minimize,3.880772590637207,,,,,,,molSizeTiming,,
66980.mol,129.85586602370367,evenLessNAD+.mol,minimize,3.363052129745483,,,,,,,molSizeTiming,,
71065.mol,71.63536227468721,evenLessNAD+.mol,minimize,4.079319000244141,,,,,,,molSizeTiming,,
76271.mol,63.73898113048823,evenLessNAD+.mol,minimize,5.197615623474121,,,,,,,molSizeTiming,,
81069.mol,129.834724122587,evenLessNAD+.mol,minimize,4.790520429611206,,,,,,,molSizeTiming,,
85794.mol,54.81903827308764,evenLessNAD+.mol,minimize,4.720557928085327,,,,,,,molSizeTiming,,
89411.mol,57.402526605551685,evenLessNAD+.mol,minimize,3.610027074813842,,,,,,,molSizeTiming,,
93377.mol,91.72060549165087,evenLessNAD+.mol,minimize,3.961153030395508,,,,,,,molSizeTiming,,
98115.mol,58.808936868823125,evenLessNAD+.mol,minimize,4.733449220657349,,,,,,,molSizeTiming,,
15039.mol,56.877876281943486,evenLessNAD+.mol,minimize,3.563014268875122,,,,,,,molSizeTiming,,
20613.mol,58.37227668464796,evenLessNAD+.mol,minimize,5.568257093429565,,,,,,,molSizeTiming,,
33597.mol,49.590143283386254,evenLessNAD+.mol,minimize,12.975742101669312,,,,,,,molSizeTiming,,
41338.mol,81.20881093067905,evenLessNAD+.mol,minimize,7.732093572616577,,,,,,,molSizeTiming,,
48564.mol,50.848381451461876,evenLessNAD+.mol,minimize,7.21950626373291,,,,,,,molSizeTiming,,
53520.mol,68.58223965149575,evenLessNAD+.mol,minimize,4.948343276977539,,,,,,,molSizeTiming,,
58104.mol,60.27615459276609,evenLessNAD+.mol,minimize,4.577136516571045,,,,,,,molSizeTiming,,
62279.mol,59.935368924735634,evenLessNAD+.mol,minimize,4.171002626419067,,,,,,,molSizeTiming,,
67171.mol,58.578663764918986,evenLessNAD+.mol,minimize,4.888366222381592,,,,,,,molSizeTiming,,
72032.mol,69.94323768799806,evenLessNAD+.mol,minimize,4.8559229373931885,,,,,,,molSizeTiming,,
78669.mol,50.00620402529027,evenLessNAD+.mol,minimize,6.63075852394104,,,,,,,molSizeTiming,,
84181.mol,55.19753542077345,evenLessNAD+.mol,minimize,5.502595901489258,,,,,,,molSizeTiming,,
89268.mol,56.8299258881992,evenLessNAD+.mol,minimize,5.081694602966309,,,,,,,molSizeTiming,,
95052.mol,71.22879003943865,evenLessNAD+.mol,minimize,5.779598712921143,,,,,,,molSizeTiming,,
1578.mol,60.439996905768524,evenLessNAD+.mol,minimize,6.516819953918457,,,,,,,molSizeTiming,,
